u,g,r,i,z,modelFlux_u,modelFlux_g,modelFlux_r,modelFlux_i,modelFlux_z,petroRad_u,petroRad_g,petroRad_i,petroRad_r,petroRad_z,petroFlux_u,petroFlux_g,petroFlux_i,petroFlux_r,petroFlux_z,petroR50_u,petroR50_g,petroR50_i,petroR50_r,petroR50_z,psfMag_u,psfMag_r,psfMag_g,psfMag_i,psfMag_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,subclass,redshift,redshift_err
19.30902,18.08678,17.62788,17.34481,17.1808,18.8959,58.2487,88.88847,115.3647,134.1736,7.222638,6.639863,6.124341,6.312138,14.52885,21.41391,59.88056,105.9646,84.70471,129.5297,3.329038,3.29171,2.843716,2.996145,2.960215,21.40168,19.74666,20.26996,19.58059,19.42585,0.7393101,0.7737114,0.7251251,0.7376172,0.7166311,STARFORMING,0.08055436,1.08e-05
18.91808,17.66467,16.97991,16.55797,16.32081,27.08671,85.92725,161.4491,238.1282,296.2594,6.729901,6.197644,5.865078,6.039515,5.207464,33.34608,92.11323,233.5912,157.5616,252.1443,3.69156,3.166225,2.869986,2.853431,2.429558,21.12029,19.06779,19.77781,18.41008,18.3578,0.8330319,0.7929662,0.7884169,0.7833742,0.7527662,STARFORMING,0.1215208,8.37e-06
21.38566,20.56294,19.68985,19.40503,19.24488,2.783823,5.952838,13.30532,17.29586,20.01957,2.970344,3.309465,3.376992,3.08475,10.26443,5.388282,6.255283,18.04893,13.10269,25.02142,3.311813,1.498713,1.412545,1.388019,1.890924,22.70344,21.02827,21.80045,20.86703,20.54844,0.4906032,0.4748623,0.6121655,0.5554383,0.473362,STARBURST,0.2972384,1.54e-05
20.012,18.42422,17.60645,17.1467,16.7953,9.888068,42.6886,90.66088,138.4584,191.3694,7.240154,8.117395,6.488606,7.003786,5.538252,12.70842,51.14621,133.0275,92.75352,167.1181,3.353174,3.631515,2.684988,2.962082,2.345704,21.97777,19.31883,20.36856,18.82277,18.44237,0.2611338,0.22517,0.2645432,0.2761591,0.2787527,STARFORMING,0.1261272,1.24e-05
19.91939,18.61018,17.89921,17.46309,17.234,10.76891,35.9688,69.23333,103.4571,127.7571,4.53493,4.187657,4.129044,4.384313,4.33697,11.38488,36.37861,98.75382,68.74557,129.721,2.129398,2.053974,1.922759,2.022009,2.089168,21.69212,19.67663,20.36399,19.17956,18.89389,0.3446839,0.3700458,0.3778118,0.3591906,0.3583063,STARBURST,0.08545484,7.38e-06
20.09318,19.19786,18.66777,18.32656,18.11679,9.175415,20.93384,34.11044,46.70579,56.65113,4.199199,4.116195,3.694726,3.674101,12.89611,12.24609,23.90795,47.41587,34.79548,59.34919,2.179114,2.008716,1.774742,1.776602,1.805202,21.79127,20.32174,20.90708,20.00846,19.63045,0.4967504,0.8782808,0.7753261,0.8209988,0.9517537,STARFORMING,0.1938927,8.57e-06
18.86312,17.78065,17.24653,16.83691,16.65052,28.49335,77.22209,126.2951,184.1778,218.6694,4.176687,4.40047,4.55079,4.70826,4.324708,27.39292,76.31944,170.261,124.3909,206.0078,2.294509,2.403215,2.307767,2.420822,2.365392,20.9411,19.58199,19.98714,18.93522,18.68696,0.8844289,0.8306339,0.8253032,0.8356592,0.7613331,STARBURST,0.1224717,6.61e-06
19.80961,18.45118,17.80704,17.45038,17.23065,11.91509,41.64166,75.36763,104.6763,128.1516,3.701165,3.797679,3.735091,3.871246,3.903973,11.36467,40.59622,100.8962,73.70652,127.5096,1.732969,1.810992,1.776066,1.841591,1.832962,21.0249,18.97804,19.66409,18.75241,18.52814,0.3797357,0.4410862,0.4261384,0.4229456,0.4109243,STARFORMING,0.09810279,8.42e-06
20.5202,19.65758,18.93429,18.48559,18.26289,6.190114,13.70726,26.68548,40.34184,49.51638,4.077662,2.293445,2.275409,2.205277,2.123713,7.000653,13.93553,40.61023,27.15931,48.55928,1.363732,1.168455,1.11321,1.107253,1.086853,20.92459,19.64217,20.248,19.12494,18.89686,0.2581789,0.4555903,0.429203,0.4731663,0.4427379,STARBURST,0.2118952,1.4e-05
18.8014,17.61351,16.98423,16.6294,16.39011,30.16004,90.07313,160.8082,222.9661,277.94,3.940832,4.216373,4.17096,4.187277,4.152099,29.49601,90.34325,222.7696,159.0796,267.9388,2.05506,2.130069,2.052782,2.052779,2.021659,20.38595,18.64341,19.15316,18.29859,18.01055,0.750659,0.8415752,0.8168923,0.811699,0.821893,STARFORMING,0.1081394,9.45e-06
